"Sample Index","Output","Actual"
"0","1.000000","1.000000",
"1","0.707107","0.707107",
"2","-0.000000","-0.000000",
"3","-0.707107","-0.707107",
"4","-1.000000","-1.000000",
"5","-0.707107","-0.707107",
"6","0.000000","0.000002",
"7","0.707107","0.707108",
"8","1.000000","1.000000",
"9","0.707106","0.707106",
"10","-0.000001","-0.000000",
"11","-0.707108","-0.707107",
"12","-1.000000","-1.000000",
"13","-0.707106","-0.707104",
"14","0.000001","0.000003",
"15","0.707108","0.707109",
"16","1.000000","1.000000",
"17","0.707106","0.707105",
"18","-0.000002","-0.000002",
"19","-0.707108","-0.707108",
"20","-1.000000","-1.000000",
"21","-0.707106","-0.707106",
"22","0.000002","0.000000",
"23","0.707108","0.707107",
"24","1.000000","1.000000",
"25","0.707105","0.707102",
"26","-0.000002","-0.000007",
"27","-0.707109","-0.707111",
"28","-1.000000","-1.000000",
"29","-0.707105","-0.707103",
"30","0.000003","0.000005",
"31","0.707109","0.707110",
"32","1.000000","1.000000",
"33","0.707105","0.707104",
"34","-0.000003","-0.000004",
"35","-0.707109","-0.707109",
"36","-1.000000","-1.000000",
"37","-0.707105","-0.707105",
"38","0.000004","0.000003",
"39","0.707110","0.707108",
"40","1.000000","1.000000",
"41","0.707104","0.707106",
"42","-0.000004","-0.000001",
"43","-0.707110","-0.707107",
"44","-1.000000","-1.000000",
"45","-0.707104","-0.707107",
"46","0.000004","-0.000000",
"47","0.707110","0.707107",
"48","1.000000","1.000000",
"49","0.707104","0.707107",
"50","-0.000005","-0.000014",
"51","-0.707110","-0.707106",
"52","-1.000000","-1.000000",
"53","-0.707103","-0.707108",
"54","0.000005","0.000013",
"55","0.707111","0.707105",
"56","1.000000","1.000000",
"57","0.707103","0.707109",
"58","-0.000006","-0.000011",
"59","-0.707111","-0.707104",
"60","-1.000000","-1.000000",
"61","-0.707103","-0.707110",
"62","0.000006","0.000010",
"63","0.707111","0.707103",
"64","1.000000","1.000000",
"65","0.707102","0.707090",
"66","-0.000006","-0.000009",
"67","-0.707112","-0.707123",
"68","-1.000000","-1.000000",
"69","-0.707102","-0.707091",
"70","0.000007","0.000007",
"71","0.707112","0.707123",
"72","1.000000","1.000000",
"73","0.707102","0.707092",
"74","-0.000007","-0.000006",
"75","-0.707112","-0.707122",
"76","-1.000000","-1.000000",
"77","-0.707102","-0.707092",
"78","0.000008","0.000005",
"79","0.707112","0.707121",
"80","1.000000","1.000000",
"81","0.707101","0.707093",
"82","-0.000008","-0.000003",
"83","-0.707113","-0.707120",
"84","-1.000000","-1.000000",
"85","-0.707101","-0.707094",
"86","0.000008","0.000002",
"87","0.707113","0.707119",
"88","1.000000","1.000000",
"89","0.707101","0.707095",
"90","-0.000009","-0.000001",
"91","-0.707113","-0.707118",
"92","-1.000000","-1.000000",
"93","-0.707100","-0.707096",
"94","0.000009","-0.000001",
"95","0.707114","0.707095",
"96","1.000000","1.000000",
"97","0.707100","0.707097",
"98","-0.000010","0.000002",
"99","-0.707114","-0.707138",
